epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4839,0.4259,0.5335,0.5165,0.4462,0.1585,9.55e-07,4.77e-06,2026-06-10 14:21:22
2,0.3707,0.3527,0.6379,0.6123,0.5931,0.1585,2.06e-06,1.03e-05,2026-06-10 14:24:05
3,0.3277,0.3169,0.6960,0.6680,0.6038,0.1361,3.45e-06,1.73e-05,2026-06-10 14:26:51
4,0.2973,0.3061,0.7001,0.6724,0.6246,0.1242,5.00e-06,2.50e-05,2026-06-10 14:29:38
5,0.2760,0.3029,0.7165,0.6865,0.6785,0.1836,6.55e-06,3.27e-05,2026-06-10 14:32:55
6,0.2478,0.3012,0.6792,0.6621,0.5911,0.0819,7.94e-06,3.97e-05,2026-06-10 14:36:08
7,0.2230,0.3109,0.6621,0.6476,0.5940,0.0740,9.05e-06,4.52e-05,2026-06-10 14:39:00
8,0.2064,0.3137,0.7142,0.6864,0.6344,0.1334,9.76e-06,4.88e-05,2026-06-10 14:41:58
9,0.1878,0.2946,0.6982,0.6808,0.6205,0.0872,1.00e-05,5.00e-05,2026-06-10 14:44:54
10,0.1688,0.2945,0.7321,0.7023,0.7012,0.1849,1.00e-05,5.00e-05,2026-06-10 14:48:10
11,0.1529,0.3081,0.7142,0.6870,0.7077,0.1915,9.98e-06,4.99e-05,2026-06-10 14:51:07
12,0.1427,0.3250,0.7422,0.7049,0.7221,0.2206,9.94e-06,4.97e-05,2026-06-10 14:54:02
13,0.1259,0.3181,0.7325,0.6969,0.6647,0.1849,9.86e-06,4.93e-05,2026-06-10 14:57:02
14,0.1158,0.3217,0.7399,0.7069,0.6933,0.2285,9.76e-06,4.88e-05,2026-06-10 15:00:02
15,0.1050,0.3275,0.7470,0.7104,0.6914,0.2048,9.62e-06,4.81e-05,2026-06-10 15:03:01
16,0.1009,0.3365,0.7235,0.6876,0.6769,0.2259,9.46e-06,4.73e-05,2026-06-10 15:06:01
17,0.0923,0.3495,0.7217,0.6867,0.6776,0.2431,9.27e-06,4.63e-05,2026-06-10 15:08:56
