epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4093,0.3397,0.6107,0.6008,0.6474,0.0779,2.20e-06,2.20e-04,2026-06-11 16:43:54
2,0.3102,0.2976,0.7060,0.6845,0.6769,0.1307,3.40e-06,3.40e-04,2026-06-11 16:48:02
3,0.2627,0.2916,0.7411,0.7116,0.6849,0.1759,4.60e-06,4.60e-04,2026-06-11 16:53:34
4,0.2262,0.2812,0.7466,0.7205,0.6789,0.1633,5.80e-06,5.80e-04,2026-06-11 16:58:15
5,0.1907,0.2688,0.7567,0.7386,0.6907,0.1344,7.00e-06,7.00e-04,2026-06-11 17:02:55
6,0.1664,0.2680,0.7627,0.7434,0.6773,0.1181,8.20e-06,8.20e-04,2026-06-11 17:08:00
7,0.1440,0.3446,0.6937,0.6795,0.7951,0.1709,9.40e-06,9.40e-04,2026-06-11 17:13:07
8,0.1286,0.3272,0.7802,0.7440,0.7015,0.1947,1.00e-05,1.00e-03,2026-06-11 17:17:18
9,0.1091,0.2820,0.7675,0.7443,0.7892,0.2425,9.97e-06,9.97e-04,2026-06-11 17:21:33
10,0.0936,0.3061,0.7809,0.7528,0.7337,0.1809,9.92e-06,9.91e-04,2026-06-11 17:25:49
11,0.0774,0.3920,0.7712,0.7367,0.8445,0.3178,9.84e-06,9.83e-04,2026-06-11 17:30:05
12,0.0691,0.3691,0.7891,0.7540,0.7988,0.2500,9.73e-06,9.73e-04,2026-06-11 17:34:24
13,0.0621,0.3567,0.7861,0.7655,0.6917,0.1508,9.60e-06,9.59e-04,2026-06-11 17:38:57
14,0.0508,0.3151,0.7973,0.7727,0.7809,0.2274,9.44e-06,9.43e-04,2026-06-11 17:43:34
15,0.0482,0.3376,0.7951,0.7663,0.8294,0.2864,9.26e-06,9.25e-04,2026-06-11 17:48:13
16,0.0386,0.3721,0.8037,0.7774,0.7817,0.2299,9.05e-06,9.04e-04,2026-06-11 17:52:37
17,0.0376,0.3452,0.8081,0.7858,0.7659,0.1796,8.83e-06,8.82e-04,2026-06-11 17:56:46
18,0.0351,0.3460,0.7940,0.7634,0.7730,0.2085,8.58e-06,8.57e-04,2026-06-11 18:00:43
19,0.0327,0.3400,0.8018,0.7768,0.7690,0.1746,8.32e-06,8.30e-04,2026-06-11 18:04:29
20,0.0266,0.4357,0.7828,0.7659,0.6925,0.1018,8.03e-06,8.01e-04,2026-06-11 18:08:13
