epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4005,0.3274,0.6408,0.6257,0.6458,0.0991,2.20e-06,2.20e-04,2026-06-11 13:59:32
2,0.3012,0.2869,0.7280,0.6984,0.7120,0.1810,3.40e-06,3.40e-04,2026-06-11 14:03:29
3,0.2550,0.2783,0.7459,0.7174,0.6599,0.1004,4.60e-06,4.60e-04,2026-06-11 14:08:15
4,0.2199,0.2646,0.7526,0.7294,0.6720,0.0938,5.80e-06,5.80e-04,2026-06-11 14:12:54
5,0.1872,0.3046,0.7098,0.7009,0.5579,0.0357,7.00e-06,7.00e-04,2026-06-11 14:18:32
6,0.1626,0.2529,0.7753,0.7538,0.6997,0.1413,8.20e-06,8.20e-04,2026-06-11 14:22:35
7,0.1342,0.2919,0.6926,0.6807,0.7329,0.0978,9.40e-06,9.40e-04,2026-06-11 14:27:20
8,0.1244,0.2753,0.7817,0.7555,0.7133,0.1757,1.00e-05,1.00e-03,2026-06-11 14:31:18
9,0.1015,0.2691,0.7724,0.7518,0.7873,0.1876,9.97e-06,9.97e-04,2026-06-11 14:35:44
10,0.0863,0.2763,0.7787,0.7592,0.6937,0.1123,9.92e-06,9.91e-04,2026-06-11 14:40:07
11,0.0773,0.3355,0.7869,0.7490,0.7406,0.1717,9.84e-06,9.83e-04,2026-06-11 14:44:27
12,0.0673,0.3432,0.7813,0.7383,0.7899,0.2972,9.73e-06,9.73e-04,2026-06-11 14:48:53
13,0.0569,0.3327,0.7936,0.7640,0.7099,0.1717,9.60e-06,9.59e-04,2026-06-11 14:53:20
14,0.0485,0.3518,0.7932,0.7637,0.7581,0.2021,9.44e-06,9.43e-04,2026-06-11 14:57:54
15,0.0465,0.3799,0.7839,0.7440,0.8177,0.3012,9.26e-06,9.25e-04,2026-06-11 15:02:17
16,0.0370,0.3460,0.7854,0.7678,0.6708,0.0925,9.05e-06,9.04e-04,2026-06-11 15:06:40
17,0.0374,0.3632,0.7992,0.7719,0.7753,0.2008,8.83e-06,8.82e-04,2026-06-11 15:11:07
18,0.0342,0.3729,0.7928,0.7564,0.8203,0.2734,8.58e-06,8.57e-04,2026-06-11 15:15:31
19,0.0306,0.3433,0.7996,0.7736,0.7043,0.0978,8.32e-06,8.30e-04,2026-06-11 15:19:59
20,0.0229,0.3824,0.7981,0.7692,0.7111,0.1493,8.03e-06,8.01e-04,2026-06-11 15:24:35
21,0.0225,0.3745,0.8126,0.7877,0.7717,0.1902,7.73e-06,7.71e-04,2026-06-11 15:29:15
