epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4392,0.3587,0.6464,0.6119,0.6261,0.2497,2.20e-06,2.20e-04,2026-06-11 18:14:11
2,0.3345,0.3107,0.6967,0.6698,0.6432,0.1466,3.40e-06,3.40e-04,2026-06-11 18:18:21
3,0.2854,0.2973,0.7127,0.6914,0.6114,0.0885,4.60e-06,4.60e-04,2026-06-11 18:22:36
4,0.2529,0.2894,0.6781,0.6666,0.6038,0.0462,5.80e-06,5.80e-04,2026-06-11 18:27:41
5,0.2188,0.3170,0.7232,0.6990,0.5626,0.0489,7.00e-06,7.00e-04,2026-06-11 18:32:00
6,0.1892,0.2668,0.7329,0.7165,0.6256,0.0674,8.20e-06,8.20e-04,2026-06-11 18:35:02
7,0.1552,0.2839,0.6785,0.6699,0.6526,0.0555,9.40e-06,9.40e-04,2026-06-11 18:38:08
8,0.1366,0.3654,0.6967,0.6866,0.5192,0.0343,1.00e-05,1.00e-03,2026-06-11 18:41:15
9,0.1008,0.2707,0.7724,0.7524,0.7085,0.1176,9.97e-06,9.97e-04,2026-06-11 18:44:19
10,0.0798,0.3732,0.7858,0.7381,0.7736,0.2497,9.92e-06,9.91e-04,2026-06-11 18:47:20
11,0.0672,0.3436,0.7936,0.7622,0.7433,0.1955,9.84e-06,9.83e-04,2026-06-11 18:50:27
12,0.0521,0.3427,0.7902,0.7588,0.7257,0.1625,9.73e-06,9.73e-04,2026-06-11 18:53:35
13,0.0454,0.3941,0.7809,0.7489,0.6523,0.0964,9.60e-06,9.59e-04,2026-06-11 18:56:39
14,0.0340,0.3571,0.7947,0.7709,0.7204,0.1427,9.44e-06,9.43e-04,2026-06-11 18:59:42
15,0.0298,0.3677,0.8051,0.7759,0.7618,0.1664,9.26e-06,9.25e-04,2026-06-11 19:02:52
16,0.0246,0.4105,0.7947,0.7678,0.7206,0.1506,9.05e-06,9.04e-04,2026-06-11 19:05:56
17,0.0241,0.5052,0.8018,0.7652,0.7301,0.1466,8.83e-06,8.82e-04,2026-06-11 19:09:00
18,0.0218,0.4486,0.8010,0.7701,0.7469,0.1704,8.58e-06,8.57e-04,2026-06-11 19:12:04
19,0.0163,0.4475,0.8037,0.7769,0.7516,0.1797,8.32e-06,8.30e-04,2026-06-11 19:15:11
20,0.0161,0.4242,0.7925,0.7717,0.7093,0.1202,8.03e-06,8.01e-04,2026-06-11 19:18:20
21,0.0141,0.5332,0.7943,0.7645,0.6986,0.1229,7.73e-06,7.71e-04,2026-06-11 19:21:27
