epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4074,0.3605,0.5678,0.5641,0.6271,0.0753,1.40e-06,1.40e-04,2026-06-11 19:36:48
2,0.3279,0.3064,0.7120,0.6808,0.6797,0.1651,2.30e-06,2.30e-04,2026-06-11 19:39:38
3,0.2857,0.2877,0.7269,0.7006,0.6655,0.1308,3.20e-06,3.20e-04,2026-06-11 19:42:31
4,0.2524,0.2888,0.7113,0.6901,0.6260,0.1096,4.10e-06,4.10e-04,2026-06-11 19:45:27
5,0.2222,0.3032,0.6844,0.6742,0.5619,0.0476,5.00e-06,5.00e-04,2026-06-11 19:48:21
6,0.1921,0.2795,0.7642,0.7355,0.7058,0.1876,4.99e-06,4.99e-04,2026-06-11 19:51:16
7,0.1554,0.2899,0.7154,0.6946,0.7128,0.1347,4.98e-06,4.98e-04,2026-06-11 19:54:13
8,0.1406,0.3050,0.7712,0.7411,0.6798,0.1572,4.95e-06,4.95e-04,2026-06-11 19:57:08
9,0.1101,0.2895,0.7511,0.7280,0.6775,0.1532,4.91e-06,4.90e-04,2026-06-11 20:00:05
10,0.1000,0.3055,0.7642,0.7395,0.6667,0.1453,4.85e-06,4.85e-04,2026-06-11 20:03:00
11,0.0869,0.3503,0.7701,0.7429,0.6747,0.1347,4.79e-06,4.78e-04,2026-06-11 20:05:53
12,0.0761,0.3719,0.7597,0.7143,0.6923,0.2404,4.71e-06,4.71e-04,2026-06-11 20:08:50
13,0.0641,0.3537,0.7779,0.7417,0.7256,0.2127,4.63e-06,4.62e-04,2026-06-11 20:11:47
14,0.0601,0.3548,0.7735,0.7435,0.7630,0.2457,4.53e-06,4.52e-04,2026-06-11 20:14:44
15,0.0530,0.5011,0.7537,0.6956,0.7981,0.4122,4.43e-06,4.42e-04,2026-06-11 20:17:42
16,0.0478,0.3445,0.7686,0.7383,0.7232,0.2034,4.31e-06,4.30e-04,2026-06-11 20:20:47
17,0.0433,0.3704,0.7612,0.7307,0.7243,0.2140,4.19e-06,4.17e-04,2026-06-11 20:24:04
18,0.0373,0.3566,0.7686,0.7430,0.7100,0.1638,4.06e-06,4.04e-04,2026-06-11 20:27:16
19,0.0366,0.3675,0.7727,0.7440,0.7539,0.2166,3.92e-06,3.90e-04,2026-06-11 20:30:32
20,0.0304,0.3773,0.7768,0.7513,0.7145,0.1810,3.78e-06,3.75e-04,2026-06-11 20:33:45
21,0.0316,0.3972,0.7820,0.7378,0.7411,0.2180,3.62e-06,3.60e-04,2026-06-11 20:36:51
