epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4084,0.6158,0.5405,0.3704,0.0000,0.7942,2.80e-06,2.80e-04,2026-06-12 10:26:40
2,0.3202,0.4261,0.5558,0.4763,0.7937,0.4340,4.60e-06,4.60e-04,2026-06-12 10:30:38
3,0.2760,0.3391,0.6457,0.6238,0.6863,0.1741,6.40e-06,6.40e-04,2026-06-12 10:34:46
4,0.2430,0.3022,0.6919,0.6723,0.6559,0.1174,8.20e-06,8.20e-04,2026-06-12 10:38:54
5,0.2118,0.2810,0.7169,0.6966,0.6655,0.1332,1.00e-05,1.00e-03,2026-06-12 10:43:05
6,0.1806,0.2668,0.7367,0.7143,0.6810,0.1306,9.99e-06,9.99e-04,2026-06-12 10:47:16
7,0.1576,0.2582,0.7594,0.7376,0.7055,0.1385,9.95e-06,9.95e-04,2026-06-12 10:51:28
8,0.1335,0.2525,0.7680,0.7444,0.7122,0.1464,9.89e-06,9.89e-04,2026-06-12 10:56:13
9,0.1093,0.2505,0.7829,0.7577,0.7254,0.1596,9.81e-06,9.81e-04,2026-06-12 11:01:15
10,0.1043,0.2492,0.7919,0.7676,0.7374,0.1768,9.70e-06,9.70e-04,2026-06-12 11:06:31
11,0.0964,0.2476,0.8072,0.7827,0.7594,0.1794,9.57e-06,9.57e-04,2026-06-12 11:10:58
12,0.0842,0.2505,0.8128,0.7864,0.7759,0.1873,9.42e-06,9.41e-04,2026-06-12 11:15:46
13,0.0756,0.2535,0.8169,0.7895,0.7839,0.1887,9.25e-06,9.24e-04,2026-06-12 11:20:04
14,0.0686,0.2558,0.8184,0.7897,0.7889,0.1926,9.05e-06,9.05e-04,2026-06-12 11:24:21
15,0.0678,0.2592,0.8243,0.7965,0.7978,0.1953,8.84e-06,8.83e-04,2026-06-12 11:28:37
16,0.0627,0.2629,0.8243,0.7984,0.7903,0.1953,8.61e-06,8.60e-04,2026-06-12 11:32:48
17,0.0622,0.2663,0.8258,0.8002,0.7888,0.1953,8.36e-06,8.35e-04,2026-06-12 11:36:27
18,0.0552,0.2712,0.8292,0.8043,0.7962,0.1992,8.10e-06,8.08e-04,2026-06-12 11:40:02
19,0.0513,0.2777,0.8288,0.8026,0.7907,0.1939,7.82e-06,7.80e-04,2026-06-12 11:43:36
20,0.0515,0.2820,0.8273,0.8015,0.7888,0.1953,7.53e-06,7.50e-04,2026-06-12 11:47:07
21,0.0515,0.2863,0.8288,0.8026,0.7905,0.1900,7.22e-06,7.19e-04,2026-06-12 11:50:39
22,0.0498,0.2903,0.8303,0.8042,0.7968,0.1926,6.90e-06,6.87e-04,2026-06-12 11:54:11
23,0.0462,0.2902,0.8329,0.8069,0.7963,0.1900,6.58e-06,6.55e-04,2026-06-12 11:57:43
24,0.0448,0.2900,0.8314,0.8062,0.7947,0.1926,6.25e-06,6.21e-04,2026-06-12 12:01:17
25,0.0430,0.2910,0.8295,0.8041,0.7902,0.1900,5.91e-06,5.87e-04,2026-06-12 12:04:50
26,0.0453,0.2915,0.8310,0.8058,0.7874,0.1834,5.57e-06,5.52e-04,2026-06-12 12:08:23
