epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4082,0.6159,0.5416,0.3714,0.0000,0.7982,2.80e-06,2.80e-04,2026-06-12 14:29:51
2,0.3213,0.4229,0.5576,0.4787,0.7927,0.4393,4.60e-06,4.60e-04,2026-06-12 14:34:12
3,0.2768,0.3393,0.6401,0.6186,0.6719,0.1728,6.40e-06,6.40e-04,2026-06-12 14:39:21
4,0.2437,0.3026,0.6900,0.6708,0.6551,0.1174,8.20e-06,8.20e-04,2026-06-12 14:44:40
5,0.2098,0.2810,0.7154,0.6966,0.6499,0.1187,1.00e-05,1.00e-03,2026-06-12 14:51:10
6,0.1812,0.2677,0.7367,0.7155,0.6670,0.1253,9.99e-06,9.99e-04,2026-06-12 14:58:12
7,0.1624,0.2598,0.7602,0.7385,0.6973,0.1319,9.95e-06,9.95e-04,2026-06-12 15:03:07
8,0.1294,0.2552,0.7721,0.7486,0.7062,0.1398,9.89e-06,9.89e-04,2026-06-12 15:08:13
9,0.1114,0.2512,0.7811,0.7564,0.7102,0.1517,9.81e-06,9.81e-04,2026-06-12 15:13:24
10,0.1013,0.2508,0.7978,0.7744,0.7351,0.1768,9.70e-06,9.70e-04,2026-06-12 15:18:01
11,0.0940,0.2503,0.8072,0.7827,0.7548,0.1860,9.57e-06,9.57e-04,2026-06-12 15:23:07
12,0.0798,0.2511,0.8135,0.7892,0.7696,0.1939,9.42e-06,9.41e-04,2026-06-12 15:27:39
13,0.0731,0.2537,0.8187,0.7941,0.7803,0.2032,9.25e-06,9.24e-04,2026-06-12 15:32:06
14,0.0695,0.2557,0.8225,0.7966,0.7858,0.2045,9.05e-06,9.05e-04,2026-06-12 15:36:39
15,0.0687,0.2576,0.8236,0.7983,0.7887,0.2084,8.84e-06,8.83e-04,2026-06-12 15:41:09
16,0.0600,0.2610,0.8232,0.7957,0.7902,0.2137,8.61e-06,8.60e-04,2026-06-12 15:45:31
17,0.0579,0.2647,0.8225,0.7955,0.7888,0.2150,8.36e-06,8.35e-04,2026-06-12 15:49:43
18,0.0575,0.2682,0.8314,0.8053,0.7992,0.2018,8.10e-06,8.08e-04,2026-06-12 15:54:02
19,0.0532,0.2734,0.8318,0.8058,0.7965,0.1992,7.82e-06,7.80e-04,2026-06-12 15:58:14
20,0.0531,0.2781,0.8333,0.8075,0.8016,0.1992,7.53e-06,7.50e-04,2026-06-12 16:02:31
21,0.0528,0.2804,0.8336,0.8064,0.8003,0.2005,7.22e-06,7.19e-04,2026-06-12 16:07:16
22,0.0497,0.2855,0.8336,0.8057,0.8022,0.1992,6.90e-06,6.87e-04,2026-06-12 16:11:21
23,0.0465,0.2879,0.8322,0.8049,0.8008,0.2018,6.58e-06,6.55e-04,2026-06-12 16:15:20
24,0.0456,0.2904,0.8322,0.8044,0.8000,0.2032,6.25e-06,6.21e-04,2026-06-12 16:19:20
25,0.0454,0.2923,0.8325,0.8042,0.7970,0.1979,5.91e-06,5.87e-04,2026-06-12 16:23:35
26,0.0439,0.2922,0.8303,0.8025,0.7954,0.2005,5.57e-06,5.52e-04,2026-06-12 16:27:32
