epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4846,0.5509,0.5565,0.4191,0.7037,0.7005,1.40e-06,2.10e-04,2026-06-12 16:57:07
2,0.3848,0.4037,0.6501,0.6225,0.6699,0.2309,2.30e-06,3.45e-04,2026-06-12 17:00:59
3,0.3366,0.3541,0.7035,0.6778,0.6494,0.1583,3.20e-06,4.80e-04,2026-06-12 17:05:45
4,0.3000,0.3343,0.7277,0.7025,0.6535,0.1662,4.10e-06,6.15e-04,2026-06-12 17:10:59
5,0.2624,0.3235,0.7452,0.7198,0.6647,0.1715,5.00e-06,7.50e-04,2026-06-12 17:14:56
6,0.2254,0.3157,0.7501,0.7256,0.6702,0.1741,4.99e-06,7.49e-04,2026-06-12 17:18:59
7,0.1984,0.3139,0.7594,0.7367,0.6774,0.1741,4.98e-06,7.46e-04,2026-06-12 17:23:35
8,0.1675,0.3111,0.7684,0.7461,0.6767,0.1728,4.95e-06,7.42e-04,2026-06-12 17:28:12
9,0.1450,0.3134,0.7811,0.7595,0.6926,0.1702,4.91e-06,7.35e-04,2026-06-12 17:32:29
10,0.1277,0.3215,0.7833,0.7580,0.6975,0.1873,4.85e-06,7.27e-04,2026-06-12 17:36:43
11,0.1194,0.3262,0.7896,0.7651,0.7125,0.2032,4.79e-06,7.18e-04,2026-06-12 17:40:42
12,0.1024,0.3328,0.7971,0.7711,0.7201,0.2018,4.71e-06,7.06e-04,2026-06-12 17:44:42
13,0.0927,0.3449,0.7975,0.7711,0.7253,0.2124,4.63e-06,6.93e-04,2026-06-12 17:48:42
14,0.0832,0.3572,0.7975,0.7692,0.7292,0.2124,4.53e-06,6.78e-04,2026-06-12 17:52:39
15,0.0818,0.3597,0.8004,0.7722,0.7296,0.2111,4.43e-06,6.62e-04,2026-06-12 17:56:05
16,0.0685,0.3659,0.8034,0.7766,0.7296,0.2045,4.31e-06,6.45e-04,2026-06-12 17:59:34
17,0.0676,0.3734,0.8053,0.7808,0.7378,0.2177,4.19e-06,6.26e-04,2026-06-12 18:03:02
18,0.0614,0.3800,0.8075,0.7818,0.7419,0.2203,4.06e-06,6.06e-04,2026-06-12 18:06:30
