epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.4081,0.6157,0.5416,0.3714,0.0000,0.7982,2.80e-06,2.80e-04,2026-06-15 10:07:43
2,0.3208,0.4227,0.5584,0.4807,0.8012,0.4340,4.60e-06,4.60e-04,2026-06-15 10:11:53
3,0.2747,0.3394,0.6404,0.6203,0.6713,0.1662,6.40e-06,6.40e-04,2026-06-15 10:17:19
4,0.2449,0.3032,0.6882,0.6698,0.6488,0.1135,8.20e-06,8.20e-04,2026-06-15 10:22:47
5,0.2114,0.2801,0.7199,0.7012,0.6558,0.1095,1.00e-05,1.00e-03,2026-06-15 10:28:36
6,0.1833,0.2652,0.7419,0.7215,0.6678,0.1161,9.99e-06,9.99e-04,2026-06-15 10:34:49
7,0.1564,0.2565,0.7590,0.7373,0.6907,0.1201,9.95e-06,9.95e-04,2026-06-15 10:40:00
8,0.1329,0.2498,0.7751,0.7534,0.7074,0.1398,9.89e-06,9.89e-04,2026-06-15 10:45:09
9,0.1092,0.2457,0.7900,0.7679,0.7268,0.1583,9.81e-06,9.81e-04,2026-06-15 10:50:13
10,0.1024,0.2455,0.8057,0.7830,0.7497,0.1662,9.70e-06,9.70e-04,2026-06-15 10:54:56
11,0.0927,0.2493,0.8135,0.7911,0.7631,0.1768,9.57e-06,9.57e-04,2026-06-15 10:59:37
12,0.0801,0.2528,0.8165,0.7932,0.7728,0.1992,9.42e-06,9.41e-04,2026-06-15 11:04:04
13,0.0745,0.2586,0.8195,0.7950,0.7790,0.2071,9.25e-06,9.24e-04,2026-06-15 11:08:28
14,0.0704,0.2613,0.8187,0.7912,0.7818,0.2058,9.05e-06,9.05e-04,2026-06-15 11:12:56
15,0.0662,0.2639,0.8198,0.7930,0.7818,0.2111,8.84e-06,8.83e-04,2026-06-15 11:17:22
16,0.0629,0.2664,0.8277,0.8015,0.7984,0.2071,8.61e-06,8.60e-04,2026-06-15 11:21:47
17,0.0580,0.2680,0.8307,0.8042,0.8044,0.2071,8.36e-06,8.35e-04,2026-06-15 11:26:06
18,0.0578,0.2722,0.8269,0.8003,0.7951,0.2098,8.10e-06,8.08e-04,2026-06-15 11:30:16
19,0.0520,0.2771,0.8295,0.8047,0.7975,0.2071,7.82e-06,7.80e-04,2026-06-15 11:34:25
20,0.0512,0.2802,0.8284,0.8012,0.7986,0.2058,7.53e-06,7.50e-04,2026-06-15 11:38:33
21,0.0477,0.2817,0.8307,0.8044,0.8038,0.2032,7.22e-06,7.19e-04,2026-06-15 11:42:37
22,0.0506,0.2834,0.8299,0.8037,0.8050,0.2071,6.90e-06,6.87e-04,2026-06-15 11:46:41
23,0.0456,0.2852,0.8314,0.8042,0.8086,0.2045,6.58e-06,6.55e-04,2026-06-15 11:50:47
24,0.0470,0.2861,0.8329,0.8066,0.8072,0.2058,6.25e-06,6.21e-04,2026-06-15 11:54:51
25,0.0442,0.2871,0.8325,0.8063,0.8047,0.2005,5.91e-06,5.87e-04,2026-06-15 11:58:57
26,0.0442,0.2868,0.8340,0.8084,0.8068,0.1939,5.57e-06,5.52e-04,2026-06-15 12:03:07
27,0.0436,0.2874,0.8322,0.8071,0.8008,0.1939,5.22e-06,5.17e-04,2026-06-15 12:07:44
28,0.0424,0.2897,0.8307,0.8054,0.7992,0.1953,4.88e-06,4.83e-04,2026-06-15 12:11:57
29,0.0419,0.2910,0.8299,0.8053,0.8003,0.1953,4.53e-06,4.48e-04,2026-06-15 12:16:07
30,0.0412,0.2940,0.8314,0.8064,0.8038,0.1939,4.19e-06,4.13e-04,2026-06-15 12:20:31
31,0.0402,0.2976,0.8262,0.8001,0.7970,0.2005,3.85e-06,3.79e-04,2026-06-15 12:24:50
32,0.0396,0.3006,0.8307,0.8054,0.8022,0.1966,3.52e-06,3.46e-04,2026-06-15 12:29:01
33,0.0387,0.3024,0.8314,0.8060,0.8035,0.1966,3.20e-06,3.13e-04,2026-06-15 12:33:26
34,0.0391,0.3047,0.8314,0.8046,0.8033,0.1953,2.88e-06,2.81e-04,2026-06-15 12:37:56
35,0.0385,0.3059,0.8303,0.8034,0.8022,0.1953,2.58e-06,2.50e-04,2026-06-15 12:41:57
36,0.0382,0.3076,0.8295,0.8010,0.8030,0.1939,2.28e-06,2.20e-04,2026-06-15 12:45:55
37,0.0380,0.3090,0.8325,0.8051,0.8022,0.1847,2.00e-06,1.92e-04,2026-06-15 12:49:52
38,0.0376,0.3103,0.8340,0.8069,0.8043,0.1873,1.74e-06,1.66e-04,2026-06-15 12:53:47
