epoch,train_loss,val_loss,accuracy,f1_macro,danger_precision,danger_as_safe,lr_backbone,lr_head,timestamp
1,0.3486,0.3721,0.6322,0.5890,0.7095,0.3008,2.80e-06,2.80e-04,2026-06-16 18:45:02
2,0.2426,0.2978,0.6912,0.6735,0.6703,0.1148,4.60e-06,4.60e-04,2026-06-16 18:55:52
3,0.1776,0.2656,0.7535,0.7314,0.6928,0.1464,6.40e-06,6.40e-04,2026-06-16 19:06:58
4,0.1404,0.2552,0.8004,0.7789,0.7372,0.1675,8.20e-06,8.20e-04,2026-06-16 19:19:00
5,0.1176,0.2523,0.8157,0.7946,0.7593,0.1847,1.00e-05,1.00e-03,2026-06-16 19:29:40
6,0.1005,0.2527,0.8232,0.7973,0.7914,0.2111,9.99e-06,9.99e-04,2026-06-16 19:40:04
7,0.0833,0.2664,0.8277,0.8008,0.8054,0.2282,9.95e-06,9.95e-04,2026-06-16 19:50:26
8,0.0746,0.2754,0.8269,0.7996,0.7898,0.2203,9.89e-06,9.89e-04,2026-06-16 20:00:49
9,0.0646,0.2818,0.8284,0.8027,0.7989,0.2203,9.81e-06,9.81e-04,2026-06-16 20:11:05
10,0.0598,0.2860,0.8325,0.8065,0.8085,0.2203,9.70e-06,9.70e-04,2026-06-16 20:21:22
11,0.0572,0.2884,0.8374,0.8093,0.8122,0.2071,9.57e-06,9.57e-04,2026-06-16 20:31:41
12,0.0536,0.2921,0.8374,0.8129,0.8005,0.2032,9.42e-06,9.41e-04,2026-06-16 20:42:04
13,0.0512,0.2989,0.8389,0.8142,0.8060,0.2005,9.25e-06,9.24e-04,2026-06-16 20:52:21
14,0.0489,0.2953,0.8389,0.8162,0.7978,0.1992,9.05e-06,9.05e-04,2026-06-16 21:02:40
15,0.0481,0.2960,0.8404,0.8171,0.8027,0.1926,8.84e-06,8.83e-04,2026-06-16 21:12:58
16,0.0464,0.2945,0.8370,0.8141,0.7976,0.2005,8.61e-06,8.60e-04,2026-06-16 21:23:19
17,0.0459,0.2961,0.8404,0.8179,0.8077,0.2045,8.36e-06,8.35e-04,2026-06-16 21:33:36
18,0.0448,0.2964,0.8404,0.8162,0.8035,0.1966,8.10e-06,8.08e-04,2026-06-16 21:43:54
19,0.0428,0.2993,0.8385,0.8141,0.8003,0.1939,7.82e-06,7.80e-04,2026-06-16 21:54:12
20,0.0430,0.3008,0.8392,0.8168,0.7965,0.2018,7.53e-06,7.50e-04,2026-06-16 22:04:34
21,0.0420,0.2989,0.8419,0.8222,0.7959,0.1992,7.22e-06,7.19e-04,2026-06-16 22:14:57
22,0.0409,0.2984,0.8441,0.8251,0.7955,0.1939,6.90e-06,6.87e-04,2026-06-16 22:25:30
23,0.0410,0.2961,0.8452,0.8256,0.7984,0.1913,6.58e-06,6.55e-04,2026-06-16 22:35:57
24,0.0407,0.3000,0.8407,0.8198,0.7989,0.2005,6.25e-06,6.21e-04,2026-06-16 22:46:25
25,0.0399,0.3089,0.8419,0.8182,0.8041,0.2071,5.91e-06,5.87e-04,2026-06-16 22:56:43
26,0.0398,0.3134,0.8385,0.8138,0.8048,0.2190,5.57e-06,5.52e-04,2026-06-16 23:07:04
27,0.0393,0.3099,0.8400,0.8163,0.8036,0.2164,5.22e-06,5.17e-04,2026-06-16 23:17:21
28,0.0397,0.3092,0.8381,0.8137,0.8033,0.2150,4.88e-06,4.83e-04,2026-06-16 23:27:55
29,0.0385,0.3123,0.8370,0.8135,0.8045,0.2164,4.53e-06,4.48e-04,2026-06-16 23:38:10
30,0.0383,0.3151,0.8366,0.8136,0.7964,0.2098,4.19e-06,4.13e-04,2026-06-16 23:48:36
31,0.0378,0.3156,0.8355,0.8116,0.7989,0.2137,3.85e-06,3.79e-04,2026-06-16 23:58:55
32,0.0379,0.3142,0.8351,0.8109,0.7962,0.2058,3.52e-06,3.46e-04,2026-06-17 00:09:17
33,0.0378,0.3174,0.8359,0.8117,0.7951,0.2018,3.20e-06,3.13e-04,2026-06-17 00:19:45
34,0.0372,0.3190,0.8359,0.8115,0.8011,0.2032,2.88e-06,2.81e-04,2026-06-17 00:30:18
35,0.0370,0.3221,0.8366,0.8103,0.8008,0.2018,2.58e-06,2.50e-04,2026-06-17 00:40:47
