danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.87972,0.788221,0.109023,0.876278,0.472544,0.710634
0.3,0.1,0.880171,0.773183,0.109023,0.861963,0.467748,0.699387
0.3,0.15,0.878437,0.760652,0.109023,0.851738,0.4617,0.689162
0.3,0.2,0.877941,0.74812,0.109023,0.840491,0.455789,0.678937
0.3,0.25,0.877612,0.736842,0.109023,0.830266,0.450689,0.669734
0.3,0.3,0.874809,0.718045,0.109023,0.814928,0.4427,0.654397
0.35,0.05,0.879213,0.784461,0.126566,0.893661,0.479314,0.711656
0.35,0.1,0.879656,0.769424,0.126566,0.879346,0.474072,0.700409
0.35,0.15,0.877907,0.756892,0.126566,0.869121,0.46758,0.690184
0.35,0.2,0.8774,0.744361,0.126566,0.857873,0.461253,0.679959
0.35,0.25,0.877061,0.733083,0.126566,0.847648,0.455828,0.670757
0.35,0.3,0.874426,0.715539,0.126566,0.833333,0.447973,0.656442
0.4,0.05,0.880851,0.778195,0.145363,0.90593,0.493217,0.712679
0.4,0.1,0.881503,0.764411,0.145363,0.892638,0.487549,0.702454
0.4,0.15,0.879941,0.753133,0.145363,0.883436,0.480855,0.693252
0.4,0.2,0.879464,0.740602,0.145363,0.872188,0.473598,0.683027
0.4,0.25,0.879154,0.729323,0.145363,0.861963,0.467429,0.673824
0.4,0.3,0.876543,0.711779,0.145363,0.847648,0.458663,0.659509
0.45,0.05,0.883191,0.776942,0.16416,0.923313,0.508889,0.716769
0.45,0.1,0.88389,0.763158,0.16416,0.91002,0.501764,0.706544
0.45,0.15,0.882353,0.75188,0.16416,0.900818,0.493982,0.697342
0.45,0.2,0.88209,0.740602,0.16416,0.890593,0.486359,0.688139
0.45,0.25,0.881818,0.729323,0.16416,0.880368,0.479249,0.678937
0.45,0.3,0.879257,0.711779,0.16416,0.866053,0.469362,0.664622
0.5,0.05,0.886095,0.750627,0.195489,0.925358,0.512313,0.700409
0.5,0.1,0.886095,0.750627,0.195489,0.925358,0.512313,0.700409
0.5,0.15,0.885587,0.746867,0.195489,0.92229,0.509107,0.697342
0.5,0.2,0.88537,0.735589,0.195489,0.912065,0.499475,0.688139
0.5,0.25,0.885321,0.725564,0.195489,0.902863,0.491542,0.679959
0.5,0.3,0.882812,0.70802,0.195489,0.888548,0.479546,0.665644
0.55,0.05,0.889058,0.733083,0.211779,0.92229,0.514166,0.690184
0.55,0.1,0.889058,0.733083,0.211779,0.92229,0.514166,0.690184
0.55,0.15,0.889058,0.733083,0.211779,0.92229,0.514166,0.690184
0.55,0.2,0.889058,0.733083,0.211779,0.92229,0.514166,0.690184
0.55,0.25,0.887865,0.724311,0.211779,0.915133,0.506621,0.683027
0.55,0.3,0.8854,0.706767,0.211779,0.900818,0.4928,0.668712
0.6,0.05,0.890302,0.701754,0.240602,0.917178,0.508714,0.667689
0.6,0.1,0.890302,0.701754,0.240602,0.917178,0.508714,0.667689
0.6,0.15,0.890302,0.701754,0.240602,0.917178,0.508714,0.667689
0.6,0.2,0.890302,0.701754,0.240602,0.917178,0.508714,0.667689
0.6,0.25,0.890302,0.701754,0.240602,0.917178,0.508714,0.667689
0.6,0.3,0.890127,0.700501,0.240602,0.916155,0.507572,0.666667
