threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,1.0,0.815951,0.0
0.03,1.0,0.815951,0.0
0.04,1.0,0.815951,0.0
0.05,0.998978,0.815763,0.001253
0.06,0.992843,0.817714,0.005013
0.07,0.98773,0.818841,0.008772
0.08,0.973415,0.821429,0.02005
0.09,0.961145,0.825532,0.027569
0.1,0.95092,0.831183,0.031328
0.11,0.936605,0.836245,0.0401
0.12,0.927403,0.83903,0.046366
0.13,0.911043,0.845118,0.056391
0.14,0.898773,0.852105,0.061404
0.15,0.890593,0.856487,0.065163
0.16,0.884458,0.857803,0.070175
0.17,0.879346,0.859302,0.073935
0.18,0.872188,0.85932,0.081454
0.19,0.868098,0.862191,0.082707
0.2,0.864008,0.863905,0.085213
0.21,0.854806,0.863636,0.095238
0.22,0.847648,0.863691,0.102757
0.23,0.846626,0.863527,0.10401
0.24,0.840491,0.863747,0.110276
0.25,0.834356,0.863971,0.116541
0.26,0.826176,0.863861,0.125313
0.27,0.817996,0.86625,0.131579
0.28,0.813906,0.866834,0.135338
0.29,0.806748,0.868188,0.141604
0.3,0.798569,0.869398,0.149123
0.31,0.791411,0.869509,0.156642
0.32,0.789366,0.869171,0.159148
0.33,0.784254,0.870926,0.162907
0.34,0.780164,0.87156,0.166667
0.35,0.774029,0.873184,0.171679
0.36,0.767894,0.874834,0.176692
0.37,0.761759,0.875168,0.182957
0.38,0.759714,0.876178,0.184211
0.39,0.755624,0.878214,0.186717
0.4,0.748466,0.877049,0.195489
0.41,0.746421,0.878082,0.196742
0.42,0.741309,0.88,0.200501
0.43,0.736196,0.880556,0.205514
0.44,0.732106,0.881285,0.209273
0.45,0.725971,0.883099,0.214286
0.46,0.717791,0.883191,0.223058
0.47,0.708589,0.88456,0.23183
0.48,0.703476,0.885174,0.236842
0.49,0.698364,0.887262,0.240602
0.5,0.691207,0.886095,0.249373
0.51,0.688139,0.885587,0.253133
0.52,0.685072,0.885075,0.256892
0.53,0.682004,0.886057,0.259398
0.54,0.676892,0.886707,0.264411
0.55,0.672802,0.889058,0.266917
0.56,0.668712,0.889908,0.270677
0.57,0.665644,0.889401,0.274436
0.58,0.656442,0.88785,0.285714
0.59,0.649284,0.888189,0.293233
0.6,0.643149,0.890302,0.298246
0.61,0.635992,0.890675,0.305764
0.62,0.625767,0.893791,0.314536
0.63,0.620654,0.894563,0.319549
0.64,0.616564,0.893864,0.324561
0.65,0.609407,0.895973,0.330827
0.66,0.596115,0.895369,0.345865
0.67,0.587935,0.893913,0.35589
0.68,0.582822,0.894737,0.360902
0.69,0.574642,0.898577,0.367168
0.7,0.566462,0.902527,0.373434
0.71,0.554192,0.902214,0.387218
0.72,0.543967,0.902256,0.398496
0.73,0.529652,0.899614,0.41604
0.74,0.52045,0.901768,0.424812
0.75,0.506135,0.90101,0.441103
0.76,0.493865,0.900621,0.454887
0.77,0.477505,0.905782,0.469925
0.78,0.462168,0.904867,0.487469
0.79,0.448875,0.91344,0.497494
0.8,0.4182,0.914425,0.531328
0.81,0.388548,0.926316,0.558897
0.82,0.353783,0.924855,0.598997
0.83,0.300613,0.938776,0.654135
0.84,0.234151,0.934498,0.73183
0.85,0.116564,0.947368,0.864662
0.86,0.003067,1.0,0.996241
0.87,0.0,0.0,1.0
0.88,0.0,0.0,1.0
0.89,0.0,0.0,1.0
0.9,0.0,0.0,1.0
0.91,0.0,0.0,1.0
0.92,0.0,0.0,1.0
0.93,0.0,0.0,1.0
0.94,0.0,0.0,1.0
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
