thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.831183,0.968672,0.016291,0.41095,0.396265,0.977505
0.15,0.856487,0.934837,0.042607,0.512643,0.491774,0.964213
0.2,0.863905,0.914787,0.058897,0.523905,0.508812,0.957055
0.25,0.863971,0.883459,0.082707,0.515246,0.50815,0.949898
0.3,0.869398,0.850877,0.109023,0.510705,0.511697,0.943763
0.35,0.873351,0.829574,0.125313,0.508908,0.515695,0.939673
0.4,0.877384,0.807018,0.142857,0.512135,0.524045,0.933538
0.45,0.881616,0.793233,0.156642,0.518769,0.533449,0.931493
0.5,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.55,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.6,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.65,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.7,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.75,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.8,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.85,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
0.9,0.884831,0.789474,0.156642,0.526974,0.543503,0.925358
