thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.831169,0.962406,0.026316,0.421215,0.403918,0.978528
0.15,0.848797,0.928571,0.052632,0.506158,0.484,0.966258
0.2,0.858156,0.909774,0.067669,0.515237,0.498322,0.960123
0.25,0.855596,0.890977,0.082707,0.502836,0.489985,0.957055
0.3,0.856089,0.87218,0.097744,0.499588,0.491078,0.953988
0.35,0.860377,0.857143,0.105263,0.504867,0.502369,0.947853
0.4,0.864341,0.838346,0.116541,0.512417,0.514936,0.93865
0.45,0.865079,0.819549,0.135338,0.508984,0.514664,0.93865
0.5,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.55,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.6,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.65,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.7,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.75,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.8,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.85,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
0.9,0.864542,0.815789,0.135338,0.505873,0.512799,0.935583
