threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,1.0,0.815951,0.0
0.03,1.0,0.815951,0.0
0.04,1.0,0.815951,0.0
0.05,0.996933,0.815385,0.003759
0.06,0.98773,0.81677,0.011278
0.07,0.984663,0.819315,0.011278
0.08,0.978528,0.821317,0.015038
0.09,0.972393,0.823344,0.018797
0.1,0.966258,0.825397,0.022556
0.11,0.947853,0.838188,0.026316
0.12,0.935583,0.839344,0.037594
0.13,0.92638,0.844371,0.041353
0.14,0.911043,0.855219,0.045113
0.15,0.904908,0.857627,0.048872
0.16,0.90184,0.857143,0.052632
0.17,0.895706,0.859589,0.056391
0.18,0.886503,0.858131,0.067669
0.19,0.883436,0.861111,0.067669
0.2,0.880368,0.864111,0.067669
0.21,0.874233,0.863158,0.075188
0.22,0.865031,0.865248,0.082707
0.23,0.865031,0.865248,0.082707
0.24,0.861963,0.864769,0.086466
0.25,0.849693,0.866426,0.097744
0.26,0.837423,0.868132,0.109023
0.27,0.831288,0.874539,0.109023
0.28,0.828221,0.874074,0.112782
0.29,0.822086,0.876866,0.116541
0.3,0.806748,0.878327,0.131579
0.31,0.794479,0.880309,0.142857
0.32,0.791411,0.879845,0.146617
0.33,0.785276,0.882812,0.150376
0.34,0.782209,0.882353,0.154135
0.35,0.779141,0.885827,0.154135
0.36,0.776074,0.889328,0.154135
0.37,0.766871,0.892,0.161654
0.38,0.766871,0.892,0.161654
0.39,0.760736,0.895161,0.165414
0.4,0.748466,0.893443,0.180451
0.41,0.745399,0.893004,0.184211
0.42,0.745399,0.893004,0.184211
0.43,0.742331,0.892562,0.18797
0.44,0.736196,0.891667,0.195489
0.45,0.730061,0.894958,0.199248
0.46,0.726994,0.898734,0.199248
0.47,0.717791,0.901709,0.206767
0.48,0.714724,0.901288,0.210526
0.49,0.711656,0.905172,0.210526
0.5,0.708589,0.904762,0.214286
0.51,0.702454,0.90393,0.221805
0.52,0.696319,0.903084,0.229323
0.53,0.690184,0.902222,0.236842
0.54,0.684049,0.901345,0.244361
0.55,0.680982,0.900901,0.24812
0.56,0.677914,0.900452,0.25188
0.57,0.674847,0.9,0.255639
0.58,0.662577,0.898148,0.270677
0.59,0.653374,0.901408,0.278195
0.6,0.647239,0.900474,0.285714
0.61,0.638037,0.899038,0.296992
0.62,0.628834,0.902439,0.304511
0.63,0.625767,0.901961,0.308271
0.64,0.622699,0.901478,0.31203
0.65,0.613497,0.9,0.323308
0.66,0.604294,0.898477,0.334586
0.67,0.592025,0.896373,0.349624
0.68,0.582822,0.894737,0.360902
0.69,0.579755,0.899471,0.360902
0.7,0.57362,0.903743,0.364662
0.71,0.57362,0.903743,0.364662
0.72,0.56135,0.901639,0.379699
0.73,0.552147,0.9,0.390977
0.74,0.539877,0.903409,0.402256
0.75,0.52454,0.906433,0.417293
0.76,0.503067,0.902439,0.443609
0.77,0.48773,0.91195,0.454887
0.78,0.478528,0.910256,0.466165
0.79,0.46319,0.92053,0.477444
0.8,0.447853,0.917808,0.496241
0.81,0.407975,0.93985,0.530075
0.82,0.377301,0.943089,0.56391
0.83,0.325153,0.943396,0.62406
0.84,0.263804,0.94186,0.695489
0.85,0.134969,0.931818,0.845865
0.86,0.009202,1.0,0.988722
0.87,0.0,0.0,1.0
0.88,0.0,0.0,1.0
0.89,0.0,0.0,1.0
0.9,0.0,0.0,1.0
0.91,0.0,0.0,1.0
0.92,0.0,0.0,1.0
0.93,0.0,0.0,1.0
0.94,0.0,0.0,1.0
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
