danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.883408,0.740602,0.12782,0.852761,0.469787,0.680982
0.3,0.1,0.884793,0.721805,0.12782,0.834356,0.460297,0.665644
0.3,0.15,0.883721,0.714286,0.12782,0.828221,0.456842,0.659509
0.3,0.2,0.886792,0.706767,0.12782,0.819018,0.453183,0.653374
0.3,0.25,0.885167,0.695489,0.12782,0.809816,0.448277,0.644172
0.3,0.3,0.881773,0.672932,0.12782,0.791411,0.438812,0.625767
0.35,0.05,0.882883,0.736842,0.150376,0.871166,0.457335,0.674847
0.35,0.1,0.884259,0.718045,0.150376,0.852761,0.447569,0.659509
0.35,0.15,0.883178,0.710526,0.150376,0.846626,0.444045,0.653374
0.35,0.2,0.886256,0.703008,0.150376,0.837423,0.440303,0.647239
0.35,0.25,0.884615,0.691729,0.150376,0.828221,0.435328,0.638037
0.35,0.3,0.881188,0.669173,0.150376,0.809816,0.425767,0.619632
0.4,0.05,0.882883,0.736842,0.172932,0.892638,0.464892,0.677914
0.4,0.1,0.884259,0.718045,0.172932,0.874233,0.45372,0.662577
0.4,0.15,0.883178,0.710526,0.172932,0.868098,0.449802,0.656442
0.4,0.2,0.886256,0.703008,0.172932,0.858896,0.445526,0.650307
0.4,0.25,0.884615,0.691729,0.172932,0.849693,0.440077,0.641104
0.4,0.3,0.881188,0.669173,0.172932,0.831288,0.429713,0.622699
0.45,0.05,0.890909,0.736842,0.184211,0.904908,0.489594,0.687117
0.45,0.1,0.892523,0.718045,0.184211,0.886503,0.476312,0.671779
0.45,0.15,0.891509,0.710526,0.184211,0.880368,0.471791,0.665644
0.45,0.2,0.894737,0.703008,0.184211,0.871166,0.466697,0.659509
0.45,0.25,0.893204,0.691729,0.184211,0.861963,0.460504,0.650307
0.45,0.3,0.89,0.669173,0.184211,0.843558,0.448857,0.631902
0.5,0.05,0.894231,0.699248,0.229323,0.907975,0.488755,0.662577
0.5,0.1,0.894231,0.699248,0.229323,0.907975,0.488755,0.662577
0.5,0.15,0.894231,0.699248,0.229323,0.907975,0.488755,0.662577
0.5,0.2,0.897561,0.691729,0.229323,0.898773,0.481743,0.656442
0.5,0.25,0.896552,0.684211,0.229323,0.892638,0.476426,0.650307
0.5,0.3,0.893401,0.661654,0.229323,0.874233,0.461652,0.631902
0.55,0.05,0.901961,0.691729,0.236842,0.904908,0.500333,0.662577
0.55,0.1,0.901961,0.691729,0.236842,0.904908,0.500333,0.662577
0.55,0.15,0.901961,0.691729,0.236842,0.904908,0.500333,0.662577
0.55,0.2,0.901961,0.691729,0.236842,0.904908,0.500333,0.662577
0.55,0.25,0.90099,0.684211,0.236842,0.898773,0.494385,0.656442
0.55,0.3,0.897959,0.661654,0.236842,0.880368,0.477983,0.638037
0.6,0.05,0.897436,0.657895,0.266917,0.90184,0.483427,0.634969
0.6,0.1,0.897436,0.657895,0.266917,0.90184,0.483427,0.634969
0.6,0.15,0.897436,0.657895,0.266917,0.90184,0.483427,0.634969
0.6,0.2,0.897436,0.657895,0.266917,0.90184,0.483427,0.634969
0.6,0.25,0.897436,0.657895,0.266917,0.90184,0.483427,0.634969
0.6,0.3,0.896907,0.654135,0.266917,0.898773,0.480457,0.631902
