danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.870147,0.814536,0.081454,0.871166,0.465565,0.722904
0.3,0.1,0.871233,0.796992,0.081454,0.853783,0.459443,0.709611
0.3,0.15,0.878151,0.785714,0.081454,0.837423,0.45603,0.701431
0.3,0.2,0.878049,0.766917,0.081454,0.820041,0.450118,0.687117
0.3,0.25,0.879234,0.74812,0.081454,0.801636,0.444343,0.672802
0.3,0.3,0.883969,0.725564,0.081454,0.777096,0.443811,0.658487
0.35,0.05,0.874494,0.81203,0.095238,0.886503,0.49297,0.731084
0.35,0.1,0.875691,0.794486,0.095238,0.869121,0.485537,0.717791
0.35,0.15,0.882934,0.784461,0.095238,0.853783,0.481758,0.710634
0.35,0.2,0.882948,0.765664,0.095238,0.836401,0.474884,0.696319
0.35,0.25,0.882963,0.746867,0.095238,0.819018,0.465782,0.680982
0.35,0.3,0.883969,0.725564,0.095238,0.798569,0.458516,0.664622
0.4,0.05,0.877049,0.804511,0.125313,0.906953,0.497251,0.728016
0.4,0.1,0.878661,0.789474,0.125313,0.891616,0.48991,0.716769
0.4,0.15,0.883523,0.779449,0.125313,0.878323,0.482271,0.708589
0.4,0.2,0.883552,0.760652,0.125313,0.860941,0.474457,0.694274
0.4,0.25,0.883756,0.743108,0.125313,0.844581,0.464954,0.679959
0.4,0.3,0.885321,0.725564,0.125313,0.827198,0.458701,0.666667
0.45,0.05,0.880223,0.79198,0.152882,0.925358,0.507029,0.723926
0.45,0.1,0.879603,0.778195,0.152882,0.913088,0.496234,0.712679
0.45,0.15,0.883453,0.769424,0.152882,0.90184,0.488647,0.705521
0.45,0.2,0.883824,0.753133,0.152882,0.886503,0.481387,0.693252
0.45,0.25,0.884211,0.736842,0.152882,0.871166,0.471449,0.679959
0.45,0.3,0.884793,0.721805,0.152882,0.856851,0.463008,0.667689
0.5,0.05,0.886263,0.75188,0.181704,0.915133,0.500816,0.699387
0.5,0.1,0.886263,0.75188,0.181704,0.915133,0.500816,0.699387
0.5,0.15,0.885926,0.749373,0.181704,0.913088,0.498957,0.697342
0.5,0.2,0.884731,0.740602,0.181704,0.90593,0.492679,0.690184
0.5,0.25,0.883792,0.724311,0.181704,0.891616,0.481512,0.676892
0.5,0.3,0.884555,0.710526,0.181704,0.878323,0.472556,0.665644
0.55,0.05,0.888545,0.719298,0.20802,0.907975,0.495367,0.677914
0.55,0.1,0.888545,0.719298,0.20802,0.907975,0.495367,0.677914
0.55,0.15,0.888545,0.719298,0.20802,0.907975,0.495367,0.677914
0.55,0.2,0.888545,0.719298,0.20802,0.907975,0.495367,0.677914
0.55,0.25,0.888025,0.715539,0.20802,0.904908,0.492582,0.674847
0.55,0.3,0.886435,0.704261,0.20802,0.895706,0.484587,0.665644
0.6,0.05,0.894137,0.68797,0.230576,0.899796,0.48966,0.658487
0.6,0.1,0.894137,0.68797,0.230576,0.899796,0.48966,0.658487
0.6,0.15,0.894137,0.68797,0.230576,0.899796,0.48966,0.658487
0.6,0.2,0.894137,0.68797,0.230576,0.899796,0.48966,0.658487
0.6,0.25,0.894137,0.68797,0.230576,0.899796,0.48966,0.658487
0.6,0.3,0.893964,0.686717,0.230576,0.898773,0.488751,0.657464
