threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,0.998978,0.816786,0.0
0.03,0.997955,0.817623,0.0
0.04,0.997955,0.817623,0.0
0.05,0.99591,0.818275,0.001253
0.06,0.99591,0.818275,0.001253
0.07,0.993865,0.817901,0.003759
0.08,0.992843,0.817714,0.005013
0.09,0.984663,0.819315,0.011278
0.1,0.984663,0.819315,0.011278
0.11,0.976483,0.825131,0.012531
0.12,0.972393,0.825447,0.016291
0.13,0.9591,0.828358,0.026316
0.14,0.951943,0.83029,0.031328
0.15,0.944785,0.832251,0.036341
0.16,0.93047,0.834066,0.048872
0.17,0.92229,0.838137,0.052632
0.18,0.916155,0.840402,0.056391
0.19,0.91002,0.841573,0.061404
0.2,0.904908,0.842938,0.065163
0.21,0.897751,0.845103,0.070175
0.22,0.887526,0.852535,0.072682
0.23,0.881391,0.852668,0.078947
0.24,0.878323,0.854482,0.080201
0.25,0.874233,0.853801,0.085213
0.26,0.867076,0.853774,0.092732
0.27,0.858896,0.854762,0.100251
0.28,0.854806,0.855263,0.10401
0.29,0.848671,0.856627,0.109023
0.3,0.843558,0.855758,0.115288
0.31,0.838446,0.857317,0.119048
0.32,0.830266,0.8633,0.121554
0.33,0.827198,0.866502,0.121554
0.34,0.821063,0.86675,0.12782
0.35,0.815951,0.868421,0.131579
0.36,0.809816,0.868687,0.137845
0.37,0.801636,0.868622,0.146617
0.38,0.795501,0.87018,0.151629
0.39,0.788344,0.871595,0.157895
0.4,0.778119,0.872536,0.16792
0.41,0.768916,0.875,0.175439
0.42,0.759714,0.874832,0.185464
0.43,0.753579,0.876526,0.190476
0.44,0.748466,0.877049,0.195489
0.45,0.736196,0.880556,0.205514
0.46,0.728016,0.880618,0.214286
0.47,0.723926,0.879944,0.219298
0.48,0.713701,0.883954,0.226817
0.49,0.700409,0.886131,0.239348
0.5,0.692229,0.886263,0.24812
0.51,0.686094,0.886736,0.254386
0.52,0.679959,0.887218,0.260652
0.53,0.676892,0.889728,0.261905
0.54,0.672802,0.890578,0.265664
0.55,0.660532,0.888545,0.280702
0.56,0.654397,0.8875,0.288221
0.57,0.647239,0.890995,0.293233
0.58,0.645194,0.892235,0.294486
0.59,0.637014,0.892456,0.303258
0.6,0.627812,0.894137,0.31203
0.61,0.618609,0.894215,0.322055
0.62,0.606339,0.897133,0.333333
0.63,0.597137,0.895548,0.344612
0.64,0.584867,0.896853,0.357143
0.65,0.574642,0.898577,0.367168
0.66,0.560327,0.89781,0.383459
0.67,0.551125,0.899814,0.392231
0.68,0.539877,0.897727,0.406015
0.69,0.517382,0.899209,0.429825
0.7,0.501022,0.902041,0.446115
0.71,0.486708,0.907563,0.458647
0.72,0.469325,0.908497,0.477444
0.73,0.439673,0.916279,0.506266
0.74,0.4182,0.924205,0.526316
0.75,0.397751,0.933162,0.545113
0.76,0.380368,0.94086,0.561404
0.77,0.354806,0.942363,0.590226
0.78,0.327198,0.946875,0.620301
0.79,0.305726,0.949833,0.64411
0.8,0.270961,0.950943,0.684211
0.81,0.229039,0.959821,0.730576
0.82,0.200409,0.959184,0.764411
0.83,0.160532,0.968153,0.809524
0.84,0.134969,0.977273,0.838346
0.85,0.106339,0.980769,0.87218
0.86,0.079755,0.974359,0.904762
0.87,0.060327,0.983051,0.927318
0.88,0.041922,0.97561,0.949875
0.89,0.019427,0.947368,0.977444
0.9,0.007157,1.0,0.991228
0.91,0.003067,1.0,0.996241
0.92,0.003067,1.0,0.996241
0.93,0.003067,1.0,0.996241
0.94,0.001022,1.0,0.998747
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
