thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.819315,0.988722,0.002506,0.334536,0.341288,0.98773
0.15,0.832251,0.963659,0.02005,0.418055,0.402315,0.97546
0.2,0.842938,0.934837,0.04386,0.4656,0.447092,0.96728
0.25,0.853801,0.914787,0.06015,0.500061,0.483973,0.960123
0.3,0.855758,0.884712,0.081454,0.492764,0.484501,0.95092
0.35,0.868586,0.869674,0.093985,0.522338,0.519189,0.944785
0.4,0.870926,0.837093,0.121554,0.513054,0.516433,0.939673
0.45,0.873838,0.824561,0.129073,0.51572,0.523019,0.93456
0.5,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.55,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.6,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.65,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.7,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.75,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.8,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.85,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
0.9,0.873502,0.822055,0.129073,0.51366,0.521764,0.932515
