danger_thr,margin,precision_danger,recall_danger,miss_rate_danger,coverage,f1_macro,accuracy
0.3,0.05,0.877119,0.778195,0.082707,0.843558,0.4551,0.696319
0.3,0.1,0.87931,0.766917,0.082707,0.831288,0.450373,0.687117
0.3,0.15,0.877193,0.75188,0.082707,0.819018,0.444539,0.674847
0.3,0.2,0.881818,0.729323,0.082707,0.794479,0.443226,0.659509
0.3,0.25,0.882629,0.706767,0.082707,0.773006,0.441433,0.644172
0.3,0.3,0.892683,0.68797,0.082707,0.748466,0.440556,0.631902
0.35,0.05,0.884615,0.778195,0.097744,0.858896,0.493213,0.711656
0.35,0.1,0.886957,0.766917,0.097744,0.846626,0.487137,0.702454
0.35,0.15,0.884956,0.75188,0.097744,0.834356,0.480098,0.690184
0.35,0.2,0.889908,0.729323,0.097744,0.809816,0.477145,0.674847
0.35,0.25,0.886792,0.706767,0.097744,0.791411,0.4674,0.656442
0.35,0.3,0.892683,0.68797,0.097744,0.769939,0.459404,0.641104
0.4,0.05,0.884615,0.778195,0.12782,0.892638,0.495355,0.714724
0.4,0.1,0.886957,0.766917,0.12782,0.880368,0.488335,0.705521
0.4,0.15,0.884956,0.75188,0.12782,0.868098,0.480527,0.693252
0.4,0.2,0.889908,0.729323,0.12782,0.843558,0.477474,0.677914
0.4,0.25,0.886792,0.706767,0.12782,0.825153,0.466966,0.659509
0.4,0.3,0.892683,0.68797,0.12782,0.803681,0.458291,0.644172
0.45,0.05,0.885965,0.759398,0.169173,0.917178,0.487229,0.702454
0.45,0.1,0.884956,0.75188,0.169173,0.911043,0.482541,0.696319
0.45,0.15,0.882883,0.736842,0.169173,0.898773,0.473742,0.684049
0.45,0.2,0.888372,0.718045,0.169173,0.877301,0.472533,0.671779
0.45,0.25,0.885714,0.699248,0.169173,0.861963,0.462783,0.656442
0.45,0.3,0.892157,0.684211,0.169173,0.843558,0.454737,0.644172
0.5,0.05,0.889401,0.725564,0.203008,0.917178,0.474549,0.677914
0.5,0.1,0.889401,0.725564,0.203008,0.917178,0.474549,0.677914
0.5,0.15,0.888889,0.721805,0.203008,0.91411,0.472148,0.674847
0.5,0.2,0.88785,0.714286,0.203008,0.907975,0.467499,0.668712
0.5,0.25,0.885167,0.695489,0.203008,0.892638,0.456657,0.653374
0.5,0.3,0.891626,0.680451,0.203008,0.874233,0.447652,0.641104
0.55,0.05,0.898058,0.695489,0.225564,0.907975,0.479528,0.662577
0.55,0.1,0.898058,0.695489,0.225564,0.907975,0.479528,0.662577
0.55,0.15,0.898058,0.695489,0.225564,0.907975,0.479528,0.662577
0.55,0.2,0.898058,0.695489,0.225564,0.907975,0.479528,0.662577
0.55,0.25,0.897059,0.68797,0.225564,0.90184,0.474631,0.656442
0.55,0.3,0.895,0.672932,0.225564,0.889571,0.465397,0.644172
0.6,0.05,0.899471,0.639098,0.259398,0.889571,0.458118,0.622699
0.6,0.1,0.899471,0.639098,0.259398,0.889571,0.458118,0.622699
0.6,0.15,0.899471,0.639098,0.259398,0.889571,0.458118,0.622699
0.6,0.2,0.899471,0.639098,0.259398,0.889571,0.458118,0.622699
0.6,0.25,0.899471,0.639098,0.259398,0.889571,0.458118,0.622699
0.6,0.3,0.898936,0.635338,0.259398,0.886503,0.455876,0.619632
