threshold,coverage,precision_danger,miss_rate
0.0,1.0,0.815951,0.0
0.01,1.0,0.815951,0.0
0.02,1.0,0.815951,0.0
0.03,1.0,0.815951,0.0
0.04,1.0,0.815951,0.0
0.05,0.993865,0.817901,0.003759
0.06,0.993865,0.817901,0.003759
0.07,0.990798,0.817337,0.007519
0.08,0.98773,0.81677,0.011278
0.09,0.981595,0.815625,0.018797
0.1,0.981595,0.815625,0.018797
0.11,0.972393,0.820189,0.022556
0.12,0.96319,0.821656,0.030075
0.13,0.947853,0.825243,0.041353
0.14,0.932515,0.825658,0.056391
0.15,0.929448,0.828383,0.056391
0.16,0.907975,0.831081,0.075188
0.17,0.90184,0.836735,0.075188
0.18,0.895706,0.839041,0.078947
0.19,0.889571,0.841379,0.082707
0.2,0.880368,0.843206,0.090226
0.21,0.871166,0.848592,0.093985
0.22,0.858896,0.857143,0.097744
0.23,0.849693,0.855596,0.109023
0.24,0.846626,0.855072,0.112782
0.25,0.840491,0.854015,0.120301
0.26,0.837423,0.85348,0.12406
0.27,0.831288,0.859779,0.12406
0.28,0.831288,0.859779,0.12406
0.29,0.825153,0.862454,0.12782
0.3,0.819018,0.861423,0.135338
0.31,0.812883,0.864151,0.139098
0.32,0.803681,0.870229,0.142857
0.33,0.800613,0.873563,0.142857
0.34,0.794479,0.872587,0.150376
0.35,0.791411,0.875969,0.150376
0.36,0.785276,0.878906,0.154135
0.37,0.776074,0.87747,0.165414
0.38,0.776074,0.87747,0.165414
0.39,0.769939,0.880478,0.169173
0.4,0.757669,0.882591,0.180451
0.41,0.751534,0.881633,0.18797
0.42,0.736196,0.879167,0.206767
0.43,0.726994,0.881857,0.214286
0.44,0.714724,0.88412,0.225564
0.45,0.705521,0.886957,0.233083
0.46,0.693252,0.884956,0.24812
0.47,0.690184,0.884444,0.25188
0.48,0.684049,0.887892,0.255639
0.49,0.674847,0.886364,0.266917
0.5,0.665644,0.889401,0.274436
0.51,0.662577,0.888889,0.278195
0.52,0.656442,0.88785,0.285714
0.53,0.650307,0.896226,0.285714
0.54,0.644172,0.9,0.289474
0.55,0.631902,0.898058,0.304511
0.56,0.622699,0.896552,0.315789
0.57,0.610429,0.899497,0.327068
0.58,0.604294,0.903553,0.330827
0.59,0.595092,0.902062,0.342105
0.6,0.579755,0.899471,0.360902
0.61,0.56135,0.896175,0.383459
0.62,0.53681,0.897143,0.409774
0.63,0.530675,0.895954,0.417293
0.64,0.52454,0.894737,0.424812
0.65,0.521472,0.894118,0.428571
0.66,0.496933,0.895062,0.454887
0.67,0.490798,0.89375,0.462406
0.68,0.48773,0.893082,0.466165
0.69,0.472393,0.896104,0.481203
0.7,0.453988,0.898649,0.5
0.71,0.43865,0.909091,0.511278
0.72,0.420245,0.912409,0.530075
0.73,0.383436,0.928,0.56391
0.74,0.352761,0.930435,0.597744
0.75,0.331288,0.953704,0.612782
0.76,0.315951,0.961165,0.62782
0.77,0.288344,0.968085,0.657895
0.78,0.251534,0.97561,0.699248
0.79,0.230061,0.973333,0.725564
0.8,0.205521,0.985075,0.75188
0.81,0.165644,0.981481,0.800752
0.82,0.147239,0.979167,0.823308
0.83,0.104294,1.0,0.87218
0.84,0.08589,1.0,0.894737
0.85,0.058282,1.0,0.928571
0.86,0.039877,1.0,0.951128
0.87,0.033742,1.0,0.958647
0.88,0.021472,1.0,0.973684
0.89,0.009202,1.0,0.988722
0.9,0.003067,1.0,0.996241
0.91,0.003067,1.0,0.996241
0.92,0.003067,1.0,0.996241
0.93,0.003067,1.0,0.996241
0.94,0.0,0.0,1.0
0.95,0.0,0.0,1.0
0.96,0.0,0.0,1.0
0.97,0.0,0.0,1.0
0.98,0.0,0.0,1.0
0.99,0.0,0.0,1.0
1.0,0.0,0.0,1.0
