thr,precision_danger,recall_danger,miss_rate_danger,f1_macro,f2_macro,coverage
0.1,0.815625,0.981203,0.003759,0.317762,0.329056,0.984663
0.15,0.828383,0.943609,0.026316,0.402583,0.391743,0.969325
0.2,0.843206,0.909774,0.048872,0.472193,0.459582,0.953988
0.25,0.854015,0.879699,0.075188,0.482294,0.477907,0.947853
0.3,0.861423,0.864662,0.082707,0.478972,0.479814,0.93865
0.35,0.875969,0.849624,0.097744,0.517791,0.524478,0.932515
0.4,0.883065,0.823308,0.12406,0.514116,0.527519,0.932515
0.45,0.880658,0.804511,0.135338,0.502226,0.518341,0.92638
0.5,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.55,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.6,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.65,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.7,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.75,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.8,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.85,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
0.9,0.880165,0.800752,0.135338,0.499706,0.51661,0.923313
